pk_registro;temperatura_c;temperatura_c_situacao;pressao_atm;umidade_relativa;umidade_relativa_situacao;valor_entalpia;situacao_entalpia;data;hora
1;25,01;ATENCAO;932,85;49,56;ATENCAO;45,18;CRITICA;23/09/2021;0:14:14
2;23,97;ATENCAO;932,65;50,69;ATENCAO;43,35;CRITICA;23/09/2021;0:30:57
3;23,03;ATENCAO;932,51;54,73;ATENCAO;42,78;CRITICA;23/09/2021;0:47:40
4;25,17;ATENCAO;932,48;48,99;ATENCAO;45,31;CRITICA;23/09/2021;1:04:23
5;28,1;OTIMA;932,29;44,57;ATENCAO;49,93;ATENCAO;23/09/2021;1:21:06
6;29,78;OTIMA;932,12;41,2;ATENCAO;52,06;ATENCAO;23/09/2021;1:37:49
7;30,9;ATENCAO;931,96;41,16;ATENCAO;54,65;ATENCAO;23/09/2021;1:54:32
8;31,42;ATENCAO;931,8;40,42;ATENCAO;55,45;ATENCAO;23/09/2021;2:11:15
9;31,67;ATENCAO;931,7;39,92;CRITICA;55,75;ATENCAO;23/09/2021;2:27:58
10;31,69;ATENCAO;931,48;40,41;ATENCAO;56,10;ATENCAO;23/09/2021;2:44:41
11;31,57;ATENCAO;931,43;41,03;ATENCAO;56,18;ATENCAO;23/09/2021;3:01:24
12;31,22;ATENCAO;931,36;41,55;ATENCAO;55,65;ATENCAO;23/09/2021;3:18:07
13;29,68;OTIMA;931,33;42,83;ATENCAO;52,72;ATENCAO;23/09/2021;3:34:50
14;30,82;ATENCAO;931,4;42,68;ATENCAO;55,34;ATENCAO;23/09/2021;3:51:33
15;32,31;ATENCAO;931,42;38,97;CRITICA;56,71;ATENCAO;23/09/2021;4:08:16
16;33,26;ATENCAO;931,42;38,63;CRITICA;58,78;ATENCAO;23/09/2021;4:24:59
17;33,83;ATENCAO;931,4;38,26;CRITICA;59,94;ATENCAO;23/09/2021;4:41:42
18;33,29;ATENCAO;931,46;37,96;CRITICA;58,42;ATENCAO;23/09/2021;4:58:25
19;31,81;ATENCAO;931,56;39,58;CRITICA;55,88;ATENCAO;23/09/2021;5:15:08
20;30,23;ATENCAO;931,86;41,33;ATENCAO;53,17;ATENCAO;23/09/2021;5:31:51
21;28,57;OTIMA;932,08;42,33;ATENCAO;49,90;ATENCAO;23/09/2021;5:48:35
22;26,88;ATENCAO;932,19;45,02;ATENCAO;47,40;CRITICA;23/09/2021;6:05:18
23;25,8;ATENCAO;932,3;48,45;ATENCAO;46,49;CRITICA;23/09/2021;6:22:01
24;25,05;ATENCAO;932,53;49,64;ATENCAO;45,31;CRITICA;23/09/2021;6:38:44
25;29,22;OTIMA;932,55;45,06;ATENCAO;52,78;ATENCAO;23/09/2021;6:55:27
26;32,93;ATENCAO;932,57;39,19;CRITICA;58,31;ATENCAO;23/09/2021;7:12:10
27;30,99;ATENCAO;932,97;39,98;CRITICA;54,16;ATENCAO;23/09/2021;7:28:53
28;33,39;ATENCAO;932,9;41,67;ATENCAO;61,07;ATENCAO;23/09/2021;7:45:36
29;31,2;ATENCAO;933,12;38,5;CRITICA;53,78;ATENCAO;23/09/2021;8:02:19
30;29,88;OTIMA;933,16;43,3;ATENCAO;53,39;ATENCAO;23/09/2021;8:19:02
31;29,92;OTIMA;933,39;43,28;ATENCAO;53,47;ATENCAO;23/09/2021;8:32:15
32;30,16;ATENCAO;933,28;42,46;ATENCAO;53,59;ATENCAO;23/09/2021;8:48:58
33;30,8;ATENCAO;933,51;43,27;ATENCAO;55,57;ATENCAO;23/09/2021;9:05:41
34;31,4;ATENCAO;933,32;40,89;ATENCAO;55,64;ATENCAO;23/09/2021;9:22:24
35;29,63;OTIMA;933,46;39,16;CRITICA;50,60;ATENCAO;23/09/2021;9:39:07
36;30,68;ATENCAO;933,39;36,16;CRITICA;51,27;ATENCAO;23/09/2021;9:55:50
37;31,72;ATENCAO;933,28;34,82;CRITICA;52,78;ATENCAO;23/09/2021;10:12:33
38;31,81;ATENCAO;933,17;34,26;CRITICA;52,64;ATENCAO;23/09/2021;10:29:16
39;31,09;ATENCAO;933,17;33,15;CRITICA;50,44;ATENCAO;23/09/2021;10:45:59
40;30,2;ATENCAO;933,05;33,67;CRITICA;48,87;ATENCAO;23/09/2021;11:02:42
41;30,97;ATENCAO;932,86;32,14;CRITICA;49,61;ATENCAO;23/09/2021;11:19:25
42;31,14;ATENCAO;932,7;30,68;CRITICA;49,12;ATENCAO;23/09/2021;11:36:08
43;31,57;ATENCAO;932,43;30,03;CRITICA;49,62;ATENCAO;23/09/2021;11:52:51
44;31,59;ATENCAO;932,11;30,42;CRITICA;49,90;ATENCAO;23/09/2021;12:09:34
45;31,78;ATENCAO;931,99;29,41;CRITICA;49,68;ATENCAO;23/09/2021;12:26:17
46;31,46;ATENCAO;931,79;28,58;CRITICA;48,55;OTIMA;23/09/2021;12:43:00
47;31,78;ATENCAO;931,47;28,29;CRITICA;49,01;ATENCAO;23/09/2021;12:59:43
48;31,77;ATENCAO;931,13;28,73;CRITICA;49,27;ATENCAO;23/09/2021;13:16:26
49;31,74;ATENCAO;930,87;29,51;CRITICA;49,68;ATENCAO;23/09/2021;13:33:09
50;32,08;ATENCAO;930,74;30,11;CRITICA;50,74;ATENCAO;23/09/2021;13:49:52
51;32,02;ATENCAO;930,43;29,71;CRITICA;50,38;ATENCAO;23/09/2021;14:06:35
52;31,96;ATENCAO;930,24;29,61;CRITICA;50,20;ATENCAO;23/09/2021;14:23:18
53;32,14;ATENCAO;929,91;30,62;CRITICA;51,20;ATENCAO;23/09/2021;14:40:01
54;31,68;ATENCAO;929,86;31,22;CRITICA;50,60;ATENCAO;23/09/2021;14:56:44
55;31,55;ATENCAO;929,81;31,61;CRITICA;50,57;ATENCAO;23/09/2021;15:13:27
56;31,35;ATENCAO;929,69;33,7;CRITICA;51,38;ATENCAO;23/09/2021;15:30:10
57;31,39;ATENCAO;929,65;33,17;CRITICA;51,16;ATENCAO;23/09/2021;15:46:53
58;31,17;ATENCAO;929,56;34,14;CRITICA;51,26;ATENCAO;23/09/2021;16:03:36
59;30,73;ATENCAO;929,7;35,45;CRITICA;51,06;ATENCAO;23/09/2021;16:20:19
60;30,05;ATENCAO;929,81;36,09;CRITICA;49,94;ATENCAO;23/09/2021;16:37:02
61;29,94;OTIMA;929,98;38,57;CRITICA;51,05;ATENCAO;23/09/2021;16:53:45
62;29,61;OTIMA;930,17;39;CRITICA;50,54;ATENCAO;23/09/2021;17:10:28
63;28,56;OTIMA;930,27;41,79;ATENCAO;49,64;ATENCAO;23/09/2021;17:27:11
64;32,16;ATENCAO;930,33;40,72;ATENCAO;57,46;ATENCAO;23/09/2021;17:43:54
65;33,29;ATENCAO;930,32;40,78;ATENCAO;60,30;ATENCAO;23/09/2021;18:00:37
66;31,21;ATENCAO;930,56;44,43;ATENCAO;57,33;ATENCAO;23/09/2021;18:17:21
67;29,19;OTIMA;930,72;44,6;ATENCAO;52,51;ATENCAO;23/09/2021;18:34:04
68;30,25;ATENCAO;930,9;43,24;ATENCAO;54,30;ATENCAO;23/09/2021;18:50:47
69;34,21;ATENCAO;930,89;39,78;CRITICA;61,95;ATENCAO;23/09/2021;19:07:30
70;31,39;ATENCAO;931,2;41,82;ATENCAO;56,22;ATENCAO;23/09/2021;19:24:13
71;28,72;OTIMA;931,35;44,56;ATENCAO;51,38;ATENCAO;23/09/2021;19:40:56
72;33,7;ATENCAO;931,53;39,1;CRITICA;60,18;ATENCAO;23/09/2021;19:57:39
73;32,98;ATENCAO;931,54;41,11;ATENCAO;59,70;ATENCAO;23/09/2021;20:14:22
74;29,76;OTIMA;931,61;43,29;ATENCAO;53,14;ATENCAO;23/09/2021;20:31:05
75;33,77;ATENCAO;931,87;39,42;CRITICA;60,56;ATENCAO;23/09/2021;20:47:48
76;32,5;ATENCAO;931,93;45,72;ATENCAO;61,38;ATENCAO;23/09/2021;21:04:31
77;29,72;OTIMA;932,09;44,49;ATENCAO;53,68;ATENCAO;23/09/2021;21:21:14
78;33,88;ATENCAO;931,9;38,13;CRITICA;59,96;ATENCAO;23/09/2021;21:37:57
79;31,95;ATENCAO;931,91;40,96;ATENCAO;57,05;ATENCAO;23/09/2021;21:54:40
80;31,52;ATENCAO;931,98;42,84;ATENCAO;57,12;ATENCAO;23/09/2021;22:11:23
81;33,23;ATENCAO;931,98;43,98;ATENCAO;62,19;ATENCAO;23/09/2021;22:28:06
82;30,22;ATENCAO;931,95;43,87;ATENCAO;54,54;ATENCAO;23/09/2021;22:44:49
83;33,53;ATENCAO;931,89;40,31;ATENCAO;60,55;ATENCAO;23/09/2021;23:01:32
84;31,04;ATENCAO;931,78;42,9;ATENCAO;55,99;ATENCAO;23/09/2021;23:18:15
85;33,43;ATENCAO;931,59;40,23;ATENCAO;60,25;ATENCAO;23/09/2021;23:34:58
86;32,44;ATENCAO;931,45;42,4;ATENCAO;59,16;ATENCAO;23/09/2021;23:51:41
87;30,85;ATENCAO;931,47;42,13;ATENCAO;55,09;ATENCAO;24/09/2021;0:08:24
88;33,88;ATENCAO;931,1;39,24;CRITICA;60,73;ATENCAO;24/09/2021;0:25:07
89;30,66;ATENCAO;931,22;41,46;ATENCAO;54,27;ATENCAO;24/09/2021;0:41:50
90;32,45;ATENCAO;931,29;40,74;ATENCAO;58,15;ATENCAO;24/09/2021;0:58:33
91;32,37;ATENCAO;931,16;45,99;ATENCAO;61,23;ATENCAO;24/09/2021;1:15:16
92;32,08;ATENCAO;930,99;42,5;ATENCAO;58,33;ATENCAO;24/09/2021;1:31:59
93;32,56;ATENCAO;930,75;43,76;ATENCAO;60,34;ATENCAO;24/09/2021;1:48:42
94;30,71;ATENCAO;930,57;43,88;ATENCAO;55,77;ATENCAO;24/09/2021;2:05:25
95;32,08;ATENCAO;930,63;41,68;ATENCAO;57,84;ATENCAO;24/09/2021;2:22:08
96;31,13;ATENCAO;930,48;41,78;ATENCAO;55,59;ATENCAO;24/09/2021;2:38:51
97;29,1;OTIMA;930,2;44,84;ATENCAO;52,44;ATENCAO;24/09/2021;2:55:34
98;27,03;OTIMA;930,31;48,28;ATENCAO;49,26;ATENCAO;24/09/2021;3:12:17
99;25,24;ATENCAO;930,38;51,53;ATENCAO;46,56;CRITICA;24/09/2021;3:29:00
100;24,25;ATENCAO;930,14;53,99;ATENCAO;45,29;CRITICA;24/09/2021;3:45:43
101;23,69;ATENCAO;930,38;58,26;OTIMA;45,62;CRITICA;24/09/2021;4:02:26
102;22,73;CRITICA;930,58;59,8;OTIMA;43,95;CRITICA;24/09/2021;4:19:09
103;24,4;ATENCAO;930,67;56,41;OTIMA;46,56;CRITICA;24/09/2021;4:35:52
104;29,42;OTIMA;930,67;47,81;ATENCAO;54,75;ATENCAO;24/09/2021;4:52:35
105;32,75;ATENCAO;930,78;40,56;ATENCAO;58,79;ATENCAO;24/09/2021;5:09:18
106;30,71;ATENCAO;931,01;42,87;ATENCAO;55,19;ATENCAO;24/09/2021;5:26:01
107;31,88;ATENCAO;931,3;42,98;ATENCAO;58,12;ATENCAO;24/09/2021;5:42:44
108;32,38;ATENCAO;931,32;45,5;ATENCAO;60,95;ATENCAO;24/09/2021;5:59:27
109;30,63;ATENCAO;931,44;42,3;ATENCAO;54,67;ATENCAO;24/09/2021;6:16:10
110;32,12;ATENCAO;931,56;42,4;ATENCAO;58,36;ATENCAO;24/09/2021;6:32:53
111;31,35;ATENCAO;931,79;42,75;ATENCAO;56,66;ATENCAO;24/09/2021;6:49:36
112;29,39;OTIMA;931,92;45,74;ATENCAO;53,55;ATENCAO;24/09/2021;7:06:19
113;27,92;OTIMA;932;50,5;ATENCAO;52,38;ATENCAO;24/09/2021;7:23:02
114;27,22;OTIMA;931,98;51,54;ATENCAO;51,17;ATENCAO;24/09/2021;7:39:46
115;27,36;OTIMA;932,02;51,94;ATENCAO;51,69;ATENCAO;24/09/2021;7:56:29
116;27,96;OTIMA;932,01;51,07;ATENCAO;52,75;ATENCAO;24/09/2021;8:13:12
117;28,66;OTIMA;931,94;50,63;ATENCAO;54,27;ATENCAO;24/09/2021;8:29:55
118;30,56;ATENCAO;931,76;49,4;ATENCAO;58,48;ATENCAO;24/09/2021;9:03:21
119;31,27;ATENCAO;931,5;46,16;ATENCAO;58,46;ATENCAO;24/09/2021;9:20:04
120;31,81;ATENCAO;931,49;43,51;ATENCAO;58,26;ATENCAO;24/09/2021;9:36:47
121;32,39;ATENCAO;931,46;42,18;ATENCAO;58,90;ATENCAO;24/09/2021;9:53:30
122;33,14;ATENCAO;931,2;41,43;ATENCAO;60,32;ATENCAO;24/09/2021;10:10:13
123;33,73;ATENCAO;931;40,97;ATENCAO;61,53;ATENCAO;24/09/2021;10:26:56
124;31,55;ATENCAO;931,35;39,64;CRITICA;55,31;ATENCAO;24/09/2021;10:43:39
125;30,97;ATENCAO;931,23;38,53;CRITICA;53,32;ATENCAO;24/09/2021;11:00:22
126;31,22;ATENCAO;931,06;38,22;CRITICA;53,71;ATENCAO;24/09/2021;11:17:05
127;31,31;ATENCAO;930,95;37,64;CRITICA;53,58;ATENCAO;24/09/2021;11:33:48
128;32,12;ATENCAO;930,75;36,74;CRITICA;54,90;ATENCAO;24/09/2021;11:50:31
129;31,79;ATENCAO;930,55;37,15;CRITICA;54,40;ATENCAO;24/09/2021;12:07:14
130;31,38;ATENCAO;930,22;37,31;CRITICA;53,57;ATENCAO;24/09/2021;12:23:57
131;32;ATENCAO;929,85;37,52;CRITICA;55,12;ATENCAO;24/09/2021;12:40:40
132;31,92;ATENCAO;929,72;37,91;CRITICA;55,18;ATENCAO;24/09/2021;12:57:23
133;31,77;ATENCAO;929,51;37,44;CRITICA;54,55;ATENCAO;24/09/2021;13:14:06
134;32,31;ATENCAO;929,12;36,42;CRITICA;55,18;ATENCAO;24/09/2021;13:30:49
135;32,05;ATENCAO;928,77;35,39;CRITICA;53,96;ATENCAO;24/09/2021;13:47:32
136;32,26;ATENCAO;928,63;40,61;ATENCAO;57,68;ATENCAO;24/09/2021;14:04:15
137;30,37;ATENCAO;928,74;53,96;ATENCAO;60,61;ATENCAO;24/09/2021;14:20:58
138;31,01;ATENCAO;928,77;48,85;ATENCAO;59,43;ATENCAO;24/09/2021;14:37:41
139;30,7;ATENCAO;928,5;51,12;ATENCAO;59,92;ATENCAO;24/09/2021;14:54:24
140;30,9;ATENCAO;928,33;46,75;ATENCAO;57,95;ATENCAO;24/09/2021;15:11:07
141;31,22;ATENCAO;928,4;42,93;ATENCAO;56,53;ATENCAO;24/09/2021;15:27:50
142;31,84;ATENCAO;928,26;39,19;CRITICA;55,80;ATENCAO;24/09/2021;15:44:33
143;31,76;ATENCAO;928,22;37,66;CRITICA;54,69;ATENCAO;24/09/2021;16:01:16
144;31,82;ATENCAO;928,28;36,26;CRITICA;53,98;ATENCAO;24/09/2021;16:17:59
145;31,43;ATENCAO;928,35;36,18;CRITICA;53,05;ATENCAO;24/09/2021;16:34:42
146;31,12;ATENCAO;928,33;37,67;CRITICA;53,23;ATENCAO;24/09/2021;16:51:25
147;30,84;ATENCAO;928,28;38,79;CRITICA;53,24;ATENCAO;24/09/2021;17:08:08
148;30,44;ATENCAO;928,39;41,58;ATENCAO;53,89;ATENCAO;24/09/2021;17:24:51
149;29,53;OTIMA;928,35;43,56;ATENCAO;52,83;ATENCAO;24/09/2021;17:41:34
150;29,22;OTIMA;928,51;44,95;ATENCAO;52,82;ATENCAO;24/09/2021;17:58:17
151;28,63;OTIMA;928,91;46,98;ATENCAO;52,44;ATENCAO;24/09/2021;18:15:00
152;28,75;OTIMA;929,3;52,48;ATENCAO;55,51;ATENCAO;24/09/2021;18:31:43
153;28,55;OTIMA;929,8;53,39;ATENCAO;55,44;ATENCAO;24/09/2021;18:48:26
154;27,67;OTIMA;930,12;56,08;OTIMA;54,47;ATENCAO;24/09/2021;19:05:09
155;30,8;ATENCAO;930,18;46,9;ATENCAO;57,73;ATENCAO;24/09/2021;19:21:52
156;28,4;OTIMA;930,45;53,16;ATENCAO;54,92;ATENCAO;24/09/2021;19:38:35
157;28,49;OTIMA;930,7;54,06;ATENCAO;55,59;ATENCAO;24/09/2021;19:55:18
158;29,16;OTIMA;930,94;51,4;ATENCAO;55,96;ATENCAO;24/09/2021;20:12:01
159;29,43;OTIMA;931,32;52,68;ATENCAO;57,32;ATENCAO;24/09/2021;20:28:44
160;28,49;OTIMA;931,48;52,44;ATENCAO;54,76;ATENCAO;24/09/2021;20:45:27
161;28,14;OTIMA;931,58;59,37;OTIMA;57,25;ATENCAO;24/09/2021;20:53:26
162;28,1;OTIMA;931,7;53,43;ATENCAO;54,25;ATENCAO;24/09/2021;21:10:09
163;31,1;ATENCAO;931,76;45,82;ATENCAO;57,82;ATENCAO;24/09/2021;21:26:52
164;30,73;ATENCAO;932;51,08;ATENCAO;59,87;ATENCAO;24/09/2021;21:43:35
165;31,51;ATENCAO;931,92;46,94;ATENCAO;59,53;ATENCAO;24/09/2021;22:11:47
166;29,63;OTIMA;931,99;51,79;ATENCAO;57,35;ATENCAO;24/09/2021;22:28:30
167;28,77;OTIMA;931,96;50,16;ATENCAO;54,31;ATENCAO;24/09/2021;22:45:13
168;29,63;OTIMA;931,98;48,71;ATENCAO;55,71;ATENCAO;24/09/2021;23:01:56
169;31,55;ATENCAO;931,87;46,61;ATENCAO;59,44;ATENCAO;24/09/2021;23:18:39
170;31,15;ATENCAO;931,8;47,7;ATENCAO;59,04;ATENCAO;24/09/2021;23:35:22
171;31,16;ATENCAO;931,85;50,89;ATENCAO;60,92;ATENCAO;24/09/2021;23:42:15
172;29,33;OTIMA;931,84;51,99;ATENCAO;56,68;ATENCAO;24/09/2021;23:58:58
173;29,86;OTIMA;931,58;47,63;ATENCAO;55,72;ATENCAO;25/09/2021;0:15:41
174;30,8;ATENCAO;931,52;47,67;ATENCAO;58,13;ATENCAO;25/09/2021;0:32:24
175;29,55;OTIMA;931,31;51,28;ATENCAO;56,89;ATENCAO;25/09/2021;0:49:07
176;28,76;OTIMA;931,24;49,74;ATENCAO;54,09;ATENCAO;25/09/2021;1:05:50
177;28,94;OTIMA;931,12;50,54;ATENCAO;54,95;ATENCAO;25/09/2021;1:22:33
178;28,67;OTIMA;930,87;51,75;ATENCAO;54,89;ATENCAO;25/09/2021;1:39:16
179;28,1;OTIMA;930,71;52,29;ATENCAO;53,73;ATENCAO;25/09/2021;1:55:59
180;27,44;OTIMA;930,67;54,24;ATENCAO;53,00;ATENCAO;25/09/2021;2:12:42
181;31,04;ATENCAO;930,4;46,95;ATENCAO;58,36;ATENCAO;25/09/2021;2:29:25
182;29,59;OTIMA;930,2;49,18;ATENCAO;55,91;ATENCAO;25/09/2021;2:46:08
183;28,51;OTIMA;929,94;50,36;ATENCAO;53,82;ATENCAO;25/09/2021;3:02:51
184;31,37;ATENCAO;930,02;44,42;ATENCAO;57,74;ATENCAO;25/09/2021;3:19:34
185;31,19;ATENCAO;929,85;44,93;ATENCAO;57,59;ATENCAO;25/09/2021;3:36:17
186;29,75;OTIMA;929,83;48,07;ATENCAO;55,73;ATENCAO;25/09/2021;3:53:00
187;28,48;OTIMA;929,8;48,87;ATENCAO;53,00;ATENCAO;25/09/2021;4:09:43
188;30,23;ATENCAO;930;46,03;ATENCAO;55,81;ATENCAO;25/09/2021;4:26:26
189;30,17;ATENCAO;930,11;46,1;ATENCAO;55,70;ATENCAO;25/09/2021;4:43:09
190;29,15;OTIMA;930,4;50,35;ATENCAO;55,40;ATENCAO;25/09/2021;4:59:52
191;30,18;ATENCAO;930,57;47,45;ATENCAO;56,45;ATENCAO;25/09/2021;5:16:35
192;29,75;OTIMA;930,83;46,5;ATENCAO;54,86;ATENCAO;25/09/2021;5:33:18
193;28,45;OTIMA;930,88;49,78;ATENCAO;53,36;ATENCAO;25/09/2021;5:50:01
194;27,4;OTIMA;930,88;52,93;ATENCAO;52,28;ATENCAO;25/09/2021;6:06:44
